FFFh,TOSU,// ,,FDFh,INDF2,// 1,,FBFh,CCPR1H,// ,,F9Fh,IPR1,// 
FFEh,TOSH,// ,,FDEh,POSTINC2,// 1,,FBEh,CCPR1L,// ,,F9Eh,PIR1,// 
FFDh,TOSL,// ,,FDDh,POSTDEC2,// 1,,FBDh,CCP1CON,// ,,F9Dh,PIE1,// 
FFCh,STKPTR,// ,,FDCh,PREINC2,// 1,,FBCh,CCPR2H,// ,,F9Ch,UNIMPLEMENTED_6,// 2
FFBh,PCLATU,// ,,FDBh,PLUSW2,// 1,,FBBh,CCPR2L,// ,,F9Bh,OSCTUNE,// 
FFAh,PCLATH,// ,,FDAh,FSR2H,// ,,FBAh,CCP2CON,// ,,F9Ah,UNIMPLEMENTED_7,// 2
FF9h,PCL,// ,,FD9h,FSR2L,// ,,FB9h,UNIMPLEMENTED_1,// 2,,F99h,UNIMPLEMENTED_8,// 2
FF8h,TBLPTRU,// ,,FD8h,STATUS,// ,,FB8h,BAUDCON,// ,,F98h,UNIMPLEMENTED_9,// 2
FF7h,TBLPTRH,// ,,FD7h,TMR0H,// ,,FB7h,PWM1CON,// 3,,F97h,UNIMPLEMENTED_10,// 2
FF6h,TBLPTRL,// ,,FD6h,TMR0L,// ,,FB6h,ECCP1AS,// 3,,F96h,TRISE,// 3
FF5h,TABLAT,// ,,FD5h,T0CON,// ,,FB5h,CVRCON,// ,,F95h,TRISD,// 
FF4h,PRODH,// ,,FD4h,UNIMPLEMENTED_0,// 2,,FB4h,CMCON,// ,,F94h,TRISC,// 
FF3h,PRODL,// ,,FD3h,OSCCON,// ,,FB3h,TMR3H,// ,,F93h,TRISB,// 
FF2h,INTCON,// ,,FD2h,HLVDCON,// ,,FB2h,TMR3L,// ,,F92h,TRISA,// 
FF1h,INTCON2,// ,,FD1h,WDTCON,// ,,FB1h,T3CON,// ,,F91h,UNIMPLEMENTED_11,// 2
FF0h,INTCON3,// ,,FD0h,RCON,// ,,FB0h,SPBRGH,// ,,F90h,UNIMPLEMENTED_12,// 2
FEFh,INDF0,// 1,,FCFh,TMR1H,// ,,FAFh,SPBRG,// ,,F8Fh,UNIMPLEMENTED_13,// 2
FEEh,POSTINC0,// 1,,FCEh,TMR1L,// ,,FAEh,RCREG,// ,,F8Eh,UNIMPLEMENTED_14,// 2
FEDh,POSTDEC0,// 1,,FCDh,T1CON,// ,,FADh,TXREG,// ,,F8Dh,LATE,// 3
FECh,PREINC0,// 1,,FCCh,TMR2,// ,,FACh,TXSTA,// ,,F8Ch,LATD,// 3
FEBh,PLUSW0,// 1,,FCBh,PR2,// ,,FABh,RCSTA,// ,,F8Bh,LATC,// 
FEAh,FSR0H,// ,,FCAh,T2CON,// ,,FAAh,UNIMPLEMENTED_2,// 2,,F8Ah,LATB,// 
FE9h,FSR0L,// ,,FC9h,SSPBUF,// ,,FA9h,EEADR,// ,,F89h,LATA,// 
FE8h,WREG,// ,,FC8h,SSPADD,// ,,FA8h,EEDATA,// ,,F88h,UNIMPLEMENTED_15,// 2
FE7h,INDF1,// 1,,FC7h,SSPSTAT,// ,,FA7h,EECON2,// 1,,F87h,UNIMPLEMENTED_16,// 2
FE6h,POSTINC1,// 1,,FC6h,SSPCON1,// ,,FA6h,EECON1,// ,,F86h,UNIMPLEMENTED_17,// 2
FE5h,POSTDEC1,// 1,,FC5h,SSPCON2,// ,,FA5h,UNIMPLEMENTED_3,// 2,,F85h,UNIMPLEMENTED_18,// 2
FE4h,PREINC1,// 1,,FC4h,ADRESH,// ,,FA4h,UNIMPLEMENTED_4,// 2,,F84h,PORTE,// 3
FE3h,PLUSW1,// 1,,FC3h,ADRESL,// ,,FA3h,UNIMPLEMENTED_5,// 2,,F83h,PORTD,// 3
FE2h,FSR1H,// ,,FC2h,ADCON0,// ,,FA2h,IPR2,// ,,F82h,PORTC,// 
FE1h,FSR1L,// ,,FC1h,ADCON1,// ,,FA1h,PIR2,// ,,F81h,PORTB,// 
FE0h,BSR,// ,,FC0h,ADCON2,// ,,FA0h,PIE2,// ,,F80h,PORTA,// 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FFFh,TOSU,,,FDFh,INDF2(1),,,FBFh,CCPR1H,,,F9Fh,IPR1,
FFEh,TOSH,,,FDEh,POSTINC2(1),,,FBEh,CCPR1L,,,F9Eh,PIR1,
FFDh,TOSL,,,FDDh,POSTDEC2(1),,,FBDh,CCP1CON,,,F9Dh,PIE1,
FFCh,STKPTR,,,FDCh,PREINC2(1),,,FBCh,CCPR2H,,,F9Ch,—(2),
FFBh,PCLATU,,,FDBh,PLUSW2(1),,,FBBh,CCPR2L,,,F9Bh,OSCTUNE,
